Name,Assemble,Type,Km,CarColor,InteriorColor,CarDoor,CarSeat,Gearbox,Price,Location,Status,EngineCar,Capacity,Trademark,ProductionYear
 Mazda 3 1.5L Deluxe - 2022,Lắp ráp trong nước,Sedan,0,Trắng,Đen,4,5,Số tự động,627, Hà Nội ,mới,Xăng,1.5,Mazda,2022
 Ford Ranger XLS 2.2L 4x2 AT - 2022,Nhập khẩu,Bán tải / Pickup,0,Đen,Đen,4,5,Số tự động,640, Hà Nội ,mới,Dầu,2.2,Ford,2022
 Porsche Cayenne S - 2014,Nhập khẩu,SUV,0,Trắng,Đen,5,5,Số tự động,3250, Hà Nội ,cũ,Xăng,4.8,Porsche,2014
 VinFast Lux A 2.0 Plus 2.0 AT - 2020,Lắp ráp trong nước,Sedan,11000,Xanh,Nâu,4,5,Số tự động,835, Hà Nội ,cũ,Xăng,2.0,VinFast,2020
 Lexus IS 250C - 2010,Nhập khẩu,Convertible/Cabriolet,62000,Trắng,Kem,2,4,Số tự động,1250, Hà Nội ,cũ,Xăng,2.5,Lexus,2010
 Honda City L 1.5 AT - 2022,Lắp ráp trong nước,Sedan,0,Xanh,Đen,4,5,Số tự động,530, Hà Nội ,mới,Xăng,1.5,Honda,2022
 Toyota Camry 2.0G - 2020,Nhập khẩu,Sedan,20000,Đen,Kem,4,5,Số tự động,965, Hà Nội ,cũ,Xăng,2.0,Toyota,2020
 Lexus LS 500h - 2017,Nhập khẩu,Sedan,40000,Xanh,Nâu,4,5,Số tự động,5490, Hà Nội ,cũ,Hybrid,3.5,Lexus,2017
 Kia Optima 2.0 AT - 2015,Nhập khẩu,Sedan,80000,Trắng,Kem,4,5,Số tự động,596, Hà Nội ,cũ,Xăng,2.0,Kia,2015
 Kia Carnival Luxury 2.2D - 2022,Lắp ráp trong nước,Van/Minivan,0,Xanh,Đen,5,8,Số tự động,1199, Hà Nội ,mới,Dầu,2.2,Kia,2022
 Kia Seltos Deluxe 1.4 AT - 2022,Lắp ráp trong nước,Crossover,0,Đen,Đen,5,5,Số tự động,639, Hà Nội ,mới,Xăng,1.4,Kia,2022
 Hyundai i10 1.2 AT - 2022,Lắp ráp trong nước,Sedan,0,Trắng,Đen,4,5,Số tự động,455, Cần Thơ ,mới,Xăng,1.25,Hyundai,2022
 Porsche Macan 2.0 - 2020,Nhập khẩu,SUV,18000,Nâu,Kem,5,5,Số tự động,4200, TP HCM ,cũ,Xăng,2.0,Porsche,2020
 Ford Ranger XLS 2.2L 4x2 AT - 2022,Lắp ráp trong nước,Bán tải / Pickup,0,Đỏ,Đen,4,5,Số tự động,650, Hà Nội ,mới,Dầu,2.2,Ford,2022
 Mercedes Benz E class E200 Edition - 2015,Lắp ráp trong nước,Sedan,10,Xanh,Kem,4,5,Số tự động,925, Hà Nội ,cũ,Xăng,2.0,Mercedes,2015
 Mazda 3 1.5 AT - 2018,Lắp ráp trong nước,Sedan,27000,Đỏ,Đen,4,5,Số tự động,585, Hà Nội ,cũ,Xăng,1.5,Mazda,2018
 Porsche Panamera 4S - 2012,Nhập khẩu,Sedan,55000,Xanh,Nâu,4,4,Số tự động,2160, Hà Nội ,cũ,Xăng,4.8,Porsche,2012
 Mercedes Benz C class C300 AMG - 2021,Lắp ráp trong nước,Sedan,0,Trắng,Nâu,4,5,Số tự động,1840, Hà Nội ,cũ,Xăng,2.0,Mercedes,2021
 Mercedes Benz S class S400L - 2014,Lắp ráp trong nước,Sedan,56000,Trắng,Đen,4,5,Số tự động,2150, Hà Nội ,cũ,Xăng,3.0,Mercedes,2014
 Kia Sonet Deluxe 1.5 AT - 2022,Lắp ráp trong nước,Crossover,0,Đỏ,Đen,5,5,Số tự động,554, Hà Nội ,mới,Xăng,1.5,Kia,2022
 Kia Morning GT-Line - 2022,Lắp ráp trong nước,Hatchback,0,Đỏ,Nhiều màu,5,5,Số tự động,439, Hà Nội ,mới,Xăng,1.25,Kia,2022
 Mercedes Benz S class S400L - 2017,Lắp ráp trong nước,Sedan,50000,Trắng,Đen,4,5,Số tự động,2690, TP HCM ,cũ,Xăng,3.0,Mercedes,2017
 Mercedes Benz A class A200 - 2013,Nhập khẩu,Hatchback,81000,Đỏ,Đen,5,5,Số tự động,620, Hà Nội ,cũ,Xăng,1.6,Mercedes,2013
 Ford Ranger Wildtrak 2.0L 4x4 AT - 2022,Lắp ráp trong nước,Bán tải / Pickup,0,Cam,Đen,4,5,Số tự động,937, TP HCM ,mới,Dầu,2.0,Ford,2022
 Kia Carnival Signature 3.5G - 2022,Lắp ráp trong nước,Van/Minivan,0,Trắng,Vàng,5,7,Số tự động,1849, TP HCM ,mới,Xăng,3.5,Kia,2022
 Honda City 1.5TOP - 2018,Lắp ráp trong nước,Sedan,50000,Xanh,Đen,4,5,Số tự động,495, Hà Nội ,cũ,Xăng,1.5,Honda,2018
 LandRover Freelander LR2 HSE - 2011,Nhập khẩu,SUV,90000,Xanh,Nâu,5,5,Số tự động,1090, Hà Nội ,cũ,Xăng,3.2,LandRover,2011
 Hyundai Accent 1.4 AT Đặc Biệt - 2022,Lắp ráp trong nước,Sedan,0,Đỏ,Ghi,4,5,Số tự động,525, Hà Nội ,mới,Xăng,1.4,Hyundai,2022
 Lexus RX 350 AWD - 2009,Nhập khẩu,SUV,0,Đen,Kem,5,5,Số tự động,1050, Hà Nội ,cũ,Xăng,3.5,Lexus,2009
 Toyota Corolla Cross 1.8V - 2022,Nhập khẩu,SUV,0,Trắng,Nhiều màu,5,5,Số tự động,846, Hà Nội ,mới,Xăng,1.8,Toyota,2022
 Ford Transit Tiêu chuẩn - 2022,Lắp ráp trong nước,Van/Minivan,0,Đen,Kem,4,16,Số tay,760, Hà Nội ,mới,Dầu,2.2,Ford,2022
 LandRover Range Rover Evoque Dynamic - 2014,Nhập khẩu,SUV,68000,Trắng,Nhiều màu,5,5,Số tự động,1399, Hà Nội ,cũ,Xăng,2.0,LandRover,2014
 Mercedes Benz GLC 300 4Matic - 2018,Lắp ráp trong nước,SUV,47000,Đen,Nâu,5,5,Số tự động,1750, Hà Nội ,cũ,Xăng,2.0,Mercedes,2018
 BMW 7 Series 730Li - 2018,Nhập khẩu,Sedan,28000,Trắng,Nâu,4,5,Số tự động,3390, Hà Nội ,cũ,Xăng,2.0,BMW,2018
 LandRover Range Rover Evoque Dynamic - 2014,Nhập khẩu,SUV,59000,Đỏ,Nhiều màu,5,5,Số tự động,1395, Hà Nội ,cũ,Xăng,2.0,LandRover,2014
 Mercedes Benz C class C200 Exclusive - 2019,Lắp ráp trong nước,Sedan,20000,Xanh,Đen,4,5,Số tự động,1439, Hà Nội ,cũ,Xăng,2.0,Mercedes,2019
 Toyota Camry 2.5G - 2013,Lắp ráp trong nước,Sedan,79000,Đen,Ghi,4,5,Số tự động,620, Hà Nội ,cũ,Xăng,2.5,Toyota,2013
 Mazda 3 1.5L Premium - 2021,Lắp ráp trong nước,Sedan,11000,Đỏ,Đen,4,5,Số tự động,735, TP HCM ,cũ,Xăng,1.5,Mazda,2021
 Mazda BT50 Premium 1.9L 4x4 AT - 2022,Nhập khẩu,Bán tải / Pickup,0,Đỏ,Nâu,4,5,Số tự động,799, Lâm Đồng ,mới,Dầu,1.9,Mazda,2022
 Ford Ranger Wildtrak 2.0L 4x4 AT - 2022,Lắp ráp trong nước,Bán tải / Pickup,0,Đen,Đen,4,5,Số tự động,937, Hà Nội ,mới,Dầu,2.0,Ford,2022
 Lexus ES 250 - 2017,Nhập khẩu,Sedan,66000,Đen,Kem,4,5,Số tự động,1690, Hà Nội ,cũ,Xăng,2.5,Lexus,2017
 Ford Ranger Wildtrak 2.0L 4x4 AT - 2019,Nhập khẩu,Bán tải / Pickup,73000,Cam,Đen,4,5,Số tự động,850, TP HCM ,cũ,Dầu,2.0,Ford,2019
 Honda CRV L - 2022,Lắp ráp trong nước,SUV,0,Trắng,Đen,5,7,Số tự động,1068, Hà Nội ,mới,Xăng,1.5,Honda,2022
 Honda Accord 1.5 AT - 2022,Nhập khẩu,Sedan,0,Đen,Đen,4,5,Số tự động,1305, Hà Nội ,mới,Xăng,1.5,Honda,2022
 Ford Ranger Wildtrak 2.0L 4x4 AT - 2018,Nhập khẩu,Bán tải / Pickup,60000,Đen,Đen,4,5,Số tự động,835, TP HCM ,cũ,Dầu,2.0,Ford,2018
 Mercedes Benz GLC 200 - 2018,Lắp ráp trong nước,SUV,50000,Trắng,Đen,5,5,Số tự động,1430, TP HCM ,cũ,Xăng,2.0,Mercedes,2018
 Lexus LX 570 - 2009,Nhập khẩu,SUV,0,Trắng,Kem,5,7,Số tự động,2350, Hà Nội ,cũ,Xăng,5.7,Lexus,2009
 Lexus ES 250 - 2019,Nhập khẩu,Sedan,19000,Đỏ,Nâu,4,5,Số tự động,2370, Hà Nội ,cũ,Xăng,2.5,Lexus,2019
 Lexus GX 460 - 2011,Nhập khẩu,SUV,0,Vàng,Nâu,5,7,Số tự động,1995, Hà Nội ,cũ,Xăng,4.6,Lexus,2011
 Toyota Camry 2.0G - 2022,Nhập khẩu,Sedan,0,Trắng,Đen,4,5,Số tự động,1070, Vĩnh Phúc ,mới,Xăng,2.0,Toyota,2022
 Honda City L 1.5 AT - 2022,Lắp ráp trong nước,Sedan,0,Đỏ,Đen,4,5,Số tự động,534, Hà Nội ,mới,Xăng,1.5,Honda,2022
 Lexus RX 350 - 2017,Nhập khẩu,SUV,45000,Đen,Nâu,4,5,Số tự động,3250, Hà Nội ,cũ,Xăng,3.5,Lexus,2017
 Maserati Quattroporte GTS GranLusso 3.8 V8 - 2019,Nhập khẩu,Sedan,0,Bạc,Nâu,4,4,Số tự động,7332, TP HCM ,mới,Xăng,3.8,Maserati,2019
 Mazda 3 1.5 AT - 2017,Lắp ráp trong nước,Sedan,30000,Xanh,Đen,4,5,Số tự động,535, Vĩnh Phúc ,cũ,Xăng,1.5,Mazda,2017
 Kia Cerato 1.6 AT Luxury - 2020,Lắp ráp trong nước,Sedan,38000,Đỏ,Vàng,4,5,Số tự động,600, Vĩnh Phúc ,cũ,Xăng,1.6,Kia,2020
 BMW 3 Series 320i Sport Line - 2021,Nhập khẩu,Sedan,0,Đỏ,Đen,4,5,Số tự động,1671, Hà Nội ,mới,Xăng,2.0,BMW,2021
 Kia K3 1.6 AT - 2014,Lắp ráp trong nước,Sedan,22000,Đồng,Đen,4,5,Số tự động,425, Hà Nội ,cũ,Xăng,1.6,Kia,2014
 Audi Q5 2.0 AT - 2018,Nhập khẩu,SUV,33000,Xanh,Đen,5,5,Số tự động,1885, Hà Nội ,cũ,Xăng,2.0,Audi,2018
 BMW 3 Series 320i Sport Line - 2022,Nhập khẩu,Sedan,0,Trắng,Đen,4,5,Số tự động,1671, Hà Nội ,mới,Xăng,2.0,BMW,2022
 Toyota Corolla Cross 1.8V - 2022,Nhập khẩu,SUV,0,Đen,Đen,5,5,Số tự động,820, Nam Định ,mới,Xăng,1.8,Toyota,2022
 VinFast Lux A 2.0 Premium 2.0 AT - 2021,Lắp ráp trong nước,Sedan,7000,Đen,Nâu,4,5,Số tự động,955, Hà Nội ,cũ,Xăng,2.0,VinFast,2021
 VinFast Lux A 2.0 Premium 2.0 AT - 2021,Lắp ráp trong nước,Sedan,7000,Trắng,Nâu,4,5,Số tự động,930, Hà Nội ,cũ,Xăng,2.0,VinFast,2021
 Mercedes Benz E class E180 - 2022,Lắp ráp trong nước,Sedan,0,Đen,Nâu,4,5,Số tự động,2099, Hà Nội ,mới,Xăng,1.5,Mercedes,2022
 Mazda 3 Luxury - 2020,Lắp ráp trong nước,Sedan,20000,Xanh,Đen,4,5,Số tự động,620, Vĩnh Phúc ,cũ,Xăng,1.5,Mazda,2020
 Toyota Fortuner 2.4G 4x2 AT - 2019,Lắp ráp trong nước,SUV,62000,Đen,Nâu,5,8,Số tự động,968, TP HCM ,cũ,Dầu,2.4,Toyota,2019
 Mercedes Benz C class C200 Exclusive - 2020,Lắp ráp trong nước,Sedan,2000,Đen,Kem,4,5,Số tự động,1590, TP HCM ,cũ,Xăng,2.0,Mercedes,2020
 Mazda 3 1.5L Premium - 2022,Lắp ráp trong nước,Sedan,0,Trắng,Đen,4,5,Số tự động,760, Vĩnh Phúc ,mới,Xăng,1.5,Mazda,2022
 Ford Ranger Wildtrak 2.0L 4x4 AT - 2022,Lắp ráp trong nước,Bán tải / Pickup,0,Đen,Đen,4,5,Số tự động,925, Hà Nội ,mới,Dầu,2.0,Ford,2022
 Ford Ranger Wildtrak 2.0L 4x4 AT - 2022,Lắp ráp trong nước,Bán tải / Pickup,0,Xám,Đen,4,5,Số tự động,937, Bà Rịa Vũng Tàu ,mới,Dầu,2.0,Ford,2022
 Peugeot 2008 Active 1.2 AT - 2022,Lắp ráp trong nước,Crossover,0,Trắng,Đen,5,5,Số tự động,759, Đồng Nai ,mới,Xăng,1.2,Peugeot,2022
 Peugeot 2008 GT Line 1.2 AT - 2022,Lắp ráp trong nước,Crossover,0,Đỏ,Đen,5,5,Số tự động,839, Đồng Nai ,mới,Xăng,1.2,Peugeot,2022
 Peugeot 2008 Active 1.2 AT - 2022,Lắp ráp trong nước,Crossover,0,Đen,Đen,5,5,Số tự động,759, Đồng Nai ,mới,Xăng,1.2,Peugeot,2022
 Nissan Almera VL 1.0 CVT Cao cấp - 2021,Nhập khẩu,Sedan,0,Đỏ,Đen,4,5,Số tự động,579, Hà Nội ,mới,Xăng,1.0,Nissan,2021
 Ford Ranger Limited 2.0L 4x4 AT - 2022,Nhập khẩu,Bán tải / Pickup,0,Trắng,Ghi,4,5,Số tự động,779, Hà Nội ,mới,Dầu,2.0,Ford,2022
 Porsche Macan S - 2019,Nhập khẩu,SUV,55000,Trắng,Nâu,5,5,Số tự động,4466, Hà Nội ,cũ,Xăng,3.0,Porsche,2019
 Mercedes Benz E class E200 Edition - 2015,Lắp ráp trong nước,Sedan,70000,Đen,Đen,4,5,Số tự động,940, Hà Nội ,cũ,Xăng,2.0,Mercedes,2015
 Toyota Veloz Cross Top 1.5 CVT - 2022,Nhập khẩu,SUV,0,Trắng,Đen,5,7,Số tự động,688, Bắc Ninh ,mới,Xăng,1.5,Toyota,2022
 Mercedes Benz GLC 200 - 2022,Lắp ráp trong nước,SUV,0,Đỏ,Đen,5,5,Số tự động,1821, Hà Nội ,mới,Xăng,0.0,Mercedes,2022
 Peugeot 5008 AL 1.6 AT - 2022,Lắp ráp trong nước,SUV,0,Trắng,Đen,5,7,Số tự động,1179, Đồng Nai ,mới,Xăng,1.6,Peugeot,2022
 Peugeot 2008 GT Line 1.2 AT - 2022,Lắp ráp trong nước,Crossover,0,Trắng,Đen,5,5,Số tự động,839, Đồng Nai ,mới,Xăng,1.2,Peugeot,2022
 Peugeot 5008 AL 1.6 AT - 2022,Lắp ráp trong nước,SUV,0,Cam,Đen,5,7,Số tự động,1179, Đồng Nai ,mới,Xăng,1.6,Peugeot,2022
 Honda Civic 1.5L Vtec Turbo - 2017,Nhập khẩu,Sedan,420000,Xanh,Ghi,4,5,Số tự động,638, Bắc Ninh ,cũ,Xăng,1.5,Honda,2017
 Toyota Veloz Cross 1.5 CVT - 2022,Nhập khẩu,SUV,0,Trắng,Nhiều màu,5,7,Số tự động,648, Hà Nội ,mới,Xăng,1.5,Toyota,2022
 Toyota Corolla altis 1.8V - 2022,Nhập khẩu,Sedan,0,Đen,Đen,4,5,Số tự động,765, TP HCM ,mới,Xăng,1.8,Toyota,2022
 VinFast VF e34 AT - 2022,Lắp ráp trong nước,Crossover,0,Đỏ,Đen,5,5,Số tự động,690, Hà Nội ,mới,Điện,0.1,VinFast,2022
 Mercedes Benz E class E250 - 2018,Lắp ráp trong nước,Sedan,36000,Xanh,Đen,4,5,Số tự động,1829, Hà Nội ,cũ,Xăng,2.0,Mercedes,2018
 Mercedes Benz GLC 200 4Matic - 2020,Lắp ráp trong nước,SUV,5000,Xám,Kem,5,5,Số tự động,1950, Hà Nội ,cũ,Xăng,2.0,Mercedes,2020
 Hyundai SantaFe Tiêu chuẩn 2.2L - 2022,Lắp ráp trong nước,SUV,0,Trắng,Nâu,5,7,Số tự động,1130, Hà Nội ,mới,Dầu,2.2,Hyundai,2022
 MG ZS Luxury + - 2021,Nhập khẩu,Crossover,0,Đỏ,Đen,5,5,Số tự động,600, Thanh Hóa ,mới,Xăng,1.5,MG,2021
 Toyota Sienna XLE 3.5 - 2011,Nhập khẩu,Van/Minivan,46713,Ghi,Xám,5,7,Số tự động,1250, TP HCM ,cũ,Xăng,3.5,Toyota,2011
 Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt - 2022,Lắp ráp trong nước,Crossover,0,Đỏ,Nâu,5,5,Số tự động,1020, Hà Nội ,mới,Xăng,1.6,Hyundai,2022
 Mercedes Benz GLC 300 4Matic - 2022,Lắp ráp trong nước,SUV,30,Trắng,Nâu,5,5,Số tự động,2619, TP HCM ,cũ,Xăng,2.0,Mercedes,2022
 Porsche 911 Carrera S - 2020,Nhập khẩu,Coupe,10000,Trắng,Đen,2,4,Số tự động,10500, TP HCM ,cũ,Xăng,3.0,Porsche,2020
 Hyundai Kona 2.0 AT - 2021,Lắp ráp trong nước,Crossover,0,Xanh,Đen,5,5,Số tự động,576, TP HCM ,mới,Xăng,2.0,Hyundai,2021
 Mitsubishi Xpander Cross 1.5 AT - 2021,Nhập khẩu,SUV,0,Cam,Màu khác,5,7,Số tự động,670, TP HCM ,mới,Xăng,1.5,Mitsubishi,2021
 Toyota Land Cruiser GX 4.5 - 2003,Nhập khẩu,SUV,270000,Trắng,Ghi,6,8,Số tay,455, Hà Nội ,cũ,Xăng,4.5,Toyota,2003
 Hyundai Accent 1.4 AT Đặc Biệt - 2021,Lắp ráp trong nước,Sedan,0,Đỏ,Nhiều màu,4,5,Số tự động,540, Hà Nội ,mới,Xăng,1.4,Hyundai,2021
 Kia Rio 1.4 AT - 2015,Nhập khẩu,Hatchback,0,Trắng,Nâu,5,5,Số tự động,415, Hải Phòng ,cũ,Xăng,1.4,Kia,2015
 Mercedes Benz GLC 300 4Matic - 2021,Lắp ráp trong nước,SUV,0,Xám,Đen,5,5,Số tự động,2499, TP HCM ,mới,Xăng,2.0,Mercedes,2021
 Mercedes Benz GL GL 350 BlueTec 4Matic - 2009,Nhập khẩu,SUV,0,Trắng,Vàng,5,7,Số tự động,880, Hà Nội ,cũ,Dầu,3.0,Mercedes,2009
 Toyota Camry 2.0G - 2022,Nhập khẩu,Sedan,0,Đen,Đen,4,5,Số tự động,1050, Hà Nội ,mới,Xăng,2.0,Toyota,2022
 Mercedes Benz E class E200 - 2017,Lắp ráp trong nước,Sedan,0,Đen,Đen,4,5,Số tự động,1490, Hà Nội ,cũ,Xăng,2.0,Mercedes,2017
 VinFast Lux A 2.0 Tiêu chuẩn - 2022,Lắp ráp trong nước,Sedan,0,Đen,Nâu,4,5,Số tự động,881, Thái Nguyên ,mới,Xăng,2.0,VinFast,2022
 Kia Seltos Luxury 1.4 AT - 2022,Lắp ráp trong nước,Crossover,0,Đỏ,Kem,5,5,Số tự động,704, Nghệ An ,mới,Xăng,1.4,Kia,2022
 Kia Morning Si MT - 2017,Lắp ráp trong nước,Hatchback,0,Vàng,Ghi,5,5,Số tay,263, Bình Dương ,cũ,Xăng,1.25,Kia,2017
 Ford Ranger XLS 2.2L 4x2 AT - 2022,Lắp ráp trong nước,Bán tải / Pickup,0,Xanh,Đen,4,5,Số tự động,640, Hà Nội ,mới,Dầu,2.2,Ford,2022
 BMW 5 Series 520i M Sport - 2021,Nhập khẩu,Sedan,0,Xám,Nhiều màu,4,5,Số tự động,2969, TP HCM ,mới,Xăng,2.0,BMW,2021
 Toyota Raize G 1.0 CVT - 2022,Nhập khẩu,SUV,0,Vàng,Đen,4,5,Số tự động,547, Hà Nội ,mới,Xăng,1.0,Toyota,2022
 Lexus RX 300 - 2020,Nhập khẩu,SUV,9000,Trắng,Nâu,5,5,Số tự động,3299, Hà Nội ,cũ,Xăng,2.0,Lexus,2020
 Lexus RX 350 - 2021,Nhập khẩu,SUV,10000,Trắng,Đỏ,5,5,Số tự động,4460, Hà Nội ,cũ,Xăng,3.5,Lexus,2021
 Porsche Cayenne 3.6 V6 - 2014,Nhập khẩu,SUV,43000,Trắng,Kem,4,5,Số tự động,2550, Hà Nội ,cũ,Xăng,3.6,Porsche,2014
 Kia Sonet Luxury 1.5 AT - 2022,Lắp ráp trong nước,Crossover,0,Đỏ,Màu khác,5,5,Số tự động,594, Tiền Giang ,mới,Xăng,1.5,Kia,2022
 Ford Explorer Limited 2.3L EcoBoost - 2017,Nhập khẩu,SUV,62000,Đỏ,Vàng,5,7,Số tự động,1440, Hà Nội ,cũ,Xăng,2.3,Ford,2017
 Kia Sorento GATH - 2015,Lắp ráp trong nước,SUV,62000,Trắng,Đen,5,7,Số tự động,589, Hà Nội ,cũ,Xăng,2.4,Kia,2015
 Chevrolet Spark LTZ 1.0 AT Zest - 2015,Lắp ráp trong nước,Hatchback,68000,Trắng,Đen,5,5,Số tự động,230, Hà Nội ,cũ,Xăng,1.0,Chevrolet,2015
 Honda City L 1.5 AT - 2022,Lắp ráp trong nước,Sedan,0,Xanh,Đen,4,5,Số tự động,544, Hà Nội ,mới,Xăng,1.5,Honda,2022
 Ford Ranger Raptor 2.0L 4x4 AT - 2022,Nhập khẩu,Bán tải / Pickup,0,Trắng,Đen,4,5,Số tự động,1202, Hà Nội ,mới,Dầu,2.0,Ford,2022
 Mazda 6 Premium 2.5 AT - 2019,Lắp ráp trong nước,Sedan,20000,Trắng,Đen,4,5,Số tự động,799, Hà Nội ,cũ,Xăng,2.5,Mazda,2019
 Hyundai i10 1.2 MT Tiêu Chuẩn - 2022,Lắp ráp trong nước,Sedan,0,Trắng,Đen,4,5,Số tay,328, TP HCM ,mới,Xăng,1.25,Hyundai,2022
 Kia K3 Premium 2.0 AT - 2022,Lắp ráp trong nước,Sedan,0,Ghi,Màu khác,4,5,Số tự động,694, Quảng Ninh ,mới,Xăng,2.0,Kia,2022
 Kia K5 Premium 2.0 AT - 2022,Lắp ráp trong nước,Sedan,0,Đỏ,Đen,4,5,Số tự động,917, Lâm Đồng ,mới,Xăng,2.0,Kia,2022
 Hyundai i20 Active 1.4 AT - 2017,Nhập khẩu,Crossover,0,Đỏ,Đen,5,5,Số tự động,499, Hà Nội ,cũ,Xăng,1.4,Hyundai,2017
